,peakid,det_lat,det_lon,country,triggertime,triggertime_local,pytz,nighttime,signals,actives,felt_reports_green,felt_reports_yellow,felt_reports_red,notification_time,notification_delay_from_detection,intensity_strong,cat,num_eq_matches,origintime,magtype,magnitude,eq_lat,eq_lon,depth,separation,triggerdelay,P_at_surface_delay,offshore,dist_shore,closest_land_lat,closest_land_lon,P_at_coast_delay,P_on_land_surface_delay,triggerdelay_wrt_P,triggerdelay_wrt_S,causal_phase
826,2261019,-33.032,-71.499,chl,2019-06-20 01:24:10.000000000,2019-06-19 21:24:10-04:00,America/Santiago,False,22,250,1732,153,19,2019-06-20 01:24:26.000000,16.0,0,USGS,1,2019-06-20 01:23:26.345999956,mww,5.4,-33.632,-68.759,150.19,263.7,43.7,20.1,False,,,,,20.1,4.1,-26.3,P
829,3204996,-29.976,-71.317,chl,2019-06-14 00:19:31.000000000,2019-06-13 20:19:31-04:00,America/Santiago,False,15,102,148,53,3,2019-06-14 00:19:50.000000,19.0,0,USGS,1,2019-06-14 00:19:12.401000023,mww,6.4,-30.056,-72.082,11.0,74.3,18.6,1.9,True,48.5,-30.274,-71.646,8.6,8.6,5.7,-3.1,P
830,9485476,-29.99,-71.296,chl,2019-06-13 22:50:27.000000000,2019-06-13 18:50:27-04:00,America/Santiago,False,12,61,131,36,2,2019-06-13 22:50:44.000000,17.0,0,USGS,1,2019-06-13 22:50:11.137999773,mww,5.0,-30.444,-71.377,47.51,51.0,15.9,7.3,False,,,,,7.3,5.3,-2.3,P
833,5155941,13.698,-89.219,slv,2019-06-10 09:12:40.000000000,2019-06-10 03:12:40-06:00,America/El_Salvador,True,16,108,40,23,1,,,,USGS,1,2019-06-10 09:12:18.942000151,mww,5.1,13.05,-88.567,72.37,100.6,21.1,10.4,True,16.8,13.201,-88.545,10.7,10.7,3.6,-9.3,P
843,8133015,-20.232,-70.137,chl,2019-06-03 08:42:29.000000000,2019-06-03 04:42:29-04:00,America/Santiago,True,41,449,162,68,5,2019-06-03 08:43:10.000000,41.0,0,USGS,1,2019-06-03 08:42:12.460999966,mww,5.2,-19.684,-70.495,47.38,71.4,16.5,7.3,True,33.8,-19.622,-70.179,8.9,8.9,3.7,-5.6,P
851,8579310,13.697,-89.232,slv,2019-05-30 09:03:47.000000000,2019-05-30 03:03:47-06:00,America/El_Salvador,True,12,57,35,45,23,,,,USGS,1,2019-05-30 09:03:32.336999893,mww,6.6,13.199,-89.306,57.92,55.6,14.7,8.6,True,29.3,13.431,-89.173,9.6,9.6,2.9,-5.7,P
860,4523240,-3.993,-79.21,ecu,2019-05-26 07:42:22.000000000,2019-05-26 02:42:22-05:00,America/Guayaquil,True,8,23,233,328,118,,,,USGS,2,2019-05-26 07:41:15.072999954,mww,8.0,-5.812,-75.27,122.57,481.1,66.9,16.6,False,,,,,16.6,3.0,-46.6,P
863,9690649,-27.375,-70.32,chl,2019-05-24 20:16:56.000000000,2019-05-24 16:16:56-04:00,America/Santiago,False,8,26,34,2,0,2019-05-24 20:17:20.000000,24.0,0,USGS,1,2019-05-24 20:15:59.384999990,mww,5.2,-27.885,-66.643,148.84,367.3,56.6,19.9,False,,,,,19.9,5.5,-34.1,P
867,1931321,-30.609,-71.205,chl,2019-05-20 11:19:02.000000000,2019-05-20 07:19:02-04:00,America/Santiago,False,10,35,828,188,12,2019-05-20 11:19:35.000000,33.0,0,USGS,1,2019-05-20 11:18:33.131000042,mww,5.5,-31.478,-70.003,108.0,149.9,28.9,14.8,False,,,,,14.8,4.0,-14.8,P
870,8747644,-20.224,-70.139,chl,2019-05-17 14:16:40.000000000,2019-05-17 10:16:40-04:00,America/Santiago,False,14,77,111,52,2,2019-05-17 14:17:14.000000,34.0,0,USGS,1,2019-05-17 14:16:24.296000004,mww,5.0,-19.802,-70.28,69.47,49.0,15.7,10.0,True,13.1,-19.786,-70.156,10.2,10.2,3.5,-5.4,P
871,1176159,-18.008,-70.243,per,2019-05-16 14:33:09.000000000,2019-05-16 09:33:09-05:00,America/Lima,False,10,45,138,38,0,,,,USGS,2,2019-05-16 14:32:49.948999882,mww,5.1,-17.763,-70.076,107.03,32.4,19.1,14.7,False,,,,,14.7,3.7,-7.8,P
877,7650286,-14.072,-75.735,per,2019-05-13 12:42:38.000000000,2019-05-13 07:42:38-05:00,America/Lima,False,10,35,98,8,0,,,,USGS,1,2019-05-13 12:41:53.105000019,mb,5.0,-14.04,-74.426,80.13,141.5,44.9,11.4,False,,,,,11.4,22.5,5.7,S
878,3185316,-12.098,-76.976,per,2019-05-13 07:11:09.000000000,2019-05-13 02:11:09-05:00,America/Lima,True,29,398,338,54,3,,,,USGS,1,2019-05-13 07:10:31.700000048,mww,5.2,-12.16,-74.883,89.72,228.0,37.3,12.6,False,,,,,12.6,4.5,-20.6,P
915,7950738,-29.915,-71.258,chl,2019-04-18 04:06:49.000000000,2019-04-18 01:06:49-03:00,America/Santiago,True,23,282,158,175,24,2019-04-18 04:07:15.000000,26.0,1,USGS,1,2019-04-18 04:06:34.947999954,mww,5.6,-29.365,-71.589,54.0,68.9,14.1,8.1,True,19.0,-29.222,-71.48,8.6,8.6,1.1,-8.2,P
932,8987189,-9.098,-78.55,per,2019-03-31 15:28:21.000000000,2019-03-31 10:28:21-05:00,America/Lima,False,10,46,110,14,3,,,,USGS,1,2019-03-31 15:27:57.880000114,mww,5.5,-9.967,-79.323,29.0,128.2,23.1,4.8,True,110.6,-9.619,-78.378,18.0,18.0,3.0,-11.8,P
934,6069842,-2.231,-80.93,ecu,2019-03-31 07:29:03.000000000,2019-03-31 02:29:03-05:00,America/Guayaquil,True,8,20,515,104,11,,,,USGS,1,2019-03-31 07:28:50.635999918,mww,5.5,-1.936,-80.734,18.62,39.2,12.4,3.2,False,,,,,3.2,4.9,-0.2,P
935,5711236,-2.207,-80.937,ecu,2019-03-31 07:04:15.000000000,2019-03-31 02:04:15-05:00,Etc/GMT+5,True,13,81,454,271,46,,,,USGS,1,2019-03-31 07:04:04.795000076,mww,6.2,-1.945,-80.81,18.0,32.3,10.2,3.1,True,8.6,-1.957,-80.734,3.4,3.4,3.8,-0.5,P
944,3226987,-20.257,-70.126,chl,2019-03-25 10:53:03.000000000,2019-03-25 07:53:03-03:00,America/Santiago,False,17,147,65,8,1,2019-03-25 10:53:40.000000,37.0,0,USGS,1,2019-03-25 10:52:40.475000143,mww,5.0,-21.314,-70.0,72.03,117.7,22.5,10.4,False,,,,,10.4,3.2,-11.2,P
947,6455332,12.144,-86.294,nic,2019-03-24 09:30:20.000000000,2019-03-24 03:30:20-06:00,America/Managua,True,9,34,7,1,0,,,,USGS,1,2019-03-24 09:30:01.419000149,mww,5.3,12.085,-86.757,87.82,50.7,18.6,12.3,False,,,,,12.3,4.4,-6.1,P
950,3973195,3.449,-76.51,col,2019-03-23 19:21:50.000000000,2019-03-23 14:21:50-05:00,America/Bogota,False,11,42,221,143,23,,,,USGS,1,2019-03-23 19:21:17.998000145,mww,6.1,4.56,-76.223,122.0,126.8,32.0,16.6,False,,,,,16.6,8.4,-9.5,P
